Latitude,Longitude,Date,OSM,Forest,Precipitation1,Precipitation2,Damage,Dams,Output_Label
36.7684,-83.701,12/2009/9,13,0,54.8,17.3,0,9.358460226,1
33.4801,-88.8243,10/2009/12,6,0,52.3,0.1,100000,31.4789683,1
33.51,-88.4,10/2009/12,7,0,10.4,0.1,50000,8.24732005,1
43.41,-95.12,10/2009/1,39,0,59.1,0,0,43.27529267,1
36.7837,-83.5897,12/2009/9,7,0,54.8,17.3,0,14.2497245,1
37.844,-83.4274,12/2009/9,1,0,29.3,25.6,5000,31.46716026,1
45.53,-122.94,11/2009/7,784,0,36.5,14.9,0,21.1655802,1
45.5196,-122.6261,11/2009/7,2357,0,33.8,16.8,0,12.57371789,1
33.73,-90.57,10/2009/12,14,0,68.7,0,325000,74.65610373,1
32.18,-91.23,10/2009/13,5,0,36,12.1,400000,59.20394636,1
38.484,-90.743,10/2009/29,179,0,17.7,0,0,66.81421817,1
38.9352,-90.7258,10/2009/29,6,0,26.1,0,0,87.79971021,1
40.2973,-92.303,10/2009/29,2,0,15.5,0,0,27.37035911,1
39.6304,-92.2801,10/2009/29,8,0,14.2,0.1,0,17.79081807,1
39.6337,-92.1782,10/2009/29,5,0,41.5,0.2,0,18.74516299,1
42.43,-71.75,07/2009/2,185,0,28,21.2,5000,5.842472862,1
41.7,-71.15,07/2009/2,1345,0,14.2,15.5,0,38.302898,1
22.2123,-159.4774,11/2009/26,470,0,8.1,1,0,3911.660021,1
29.5299,-97.4247,11/2009/20,7,0,26.2,4,0,70.57000202,1
29.3,-97.89,11/2009/20,5,0,37.6,6,0,40.4840742,1
36.0928,-79.81,11/2009/11,848,0,28,11.6,0,9.255216458,1
36.0916,-79.7944,11/2009/12,152,0,66.3,66.6,0,9.878718918,1
35.4934,-83.3222,12/2009/9,35,0,24.9,23.3,5000,33.31623424,1
35.4332,-83.4472,12/2009/9,43,0,24.9,23.3,0,32.20966461,1
38.0071,-78.7203,11/2009/19,13,0,46.1,6.2,5000,24.16074316,1
35.43,-88.67,12/2009/8,12,0,35.7,6.9,0,34.48858302,1
34.8636,-90.0477,12/2009/8,24,0,69.4,7.7,0,13.775485,1
35.27,-89,12/2009/8,4,0,48.7,7.6,0,68.46693506,1
35.1716,-80.7861,12/2009/25,41,0,44.9,0.4,0,26.00840242,1
36.4533,-77.6685,11/2009/12,48,0,129.3,75.7,0,13.70974492,1
36.4345,-77.629,11/2009/12,446,0,97.9,75,0,17.76831887,1
29.6364,-99.005,11/2009/20,17,0,19.6,3.6,0,12.6172221,1
29.3647,-98.7947,11/2009/20,37,0,26.5,3.2,0,23.81426345,1
